iter	Passed	Remaining
0	23	23373
1	44	22003
2	63	21177
3	84	21135
4	105	21062
5	127	21112
6	148	21103
7	170	21111
8	193	21310
9	225	22278
10	252	22686
11	272	22403
12	296	22480
13	315	22202
14	334	21992
15	355	21875
16	377	21804
17	391	21344
18	402	20781
19	422	20679
20	441	20569
21	459	20448
22	480	20405
23	501	20388
24	534	20847
25	554	20773
26	574	20698
27	595	20670
28	616	20629
29	635	20560
30	654	20460
31	674	20399
32	697	20427
33	716	20362
34	738	20364
35	758	20303
36	770	20041
37	789	19994
38	809	19956
39	820	19698
40	840	19653
41	859	19610
42	874	19468
43	894	19440
44	916	19458
45	936	19416
46	956	19399
47	982	19491
48	1016	19729
49	1044	19848
50	1066	19846
51	1088	19835
52	1108	19802
53	1128	19763
54	1149	19742
55	1169	19722
56	1189	19679
57	1210	19659
58	1232	19658
59	1252	19620
60	1272	19595
61	1293	19567
62	1313	19531
63	1334	19516
64	1356	19515
65	1376	19479
66	1397	19466
67	1419	19454
68	1439	19424
69	1460	19407
70	1479	19361
71	1500	19339
72	1520	19314
73	1541	19287
74	1560	19248
75	1579	19203
76	1599	19175
77	1619	19141
78	1640	19128
79	1661	19108
80	1684	19107
81	1706	19107
82	1727	19085
83	1745	19036
84	1765	19002
85	1786	18986
86	1807	18967
87	1829	18963
88	1848	18920
89	1868	18888
90	1887	18856
91	1911	18866
92	1932	18845
93	1954	18835
94	1960	18675
95	1981	18659
96	2001	18629
97	2015	18553
98	2038	18556
99	2063	18574
100	2084	18554
101	2104	18525
102	2120	18467
103	2141	18448
104	2161	18421
105	2182	18405
106	2202	18381
107	2224	18370
108	2245	18351
109	2264	18319
110	2290	18343
111	2307	18295
112	2346	18417
113	2369	18417
114	2398	18458
115	2418	18433
116	2440	18421
117	2460	18391
118	2480	18364
119	2492	18276
120	2501	18172
121	2520	18142
122	2544	18138
123	2566	18128
124	2586	18107
125	2606	18081
126	2627	18059
127	2647	18038
128	2668	18018
129	2705	18105
130	2742	18189
131	2770	18221
132	2805	18285
133	2832	18305
134	2856	18304
135	2882	18309
136	2905	18305
137	2935	18334
138	2967	18380
139	2995	18403
140	3024	18425
141	3042	18386
142	3069	18393
143	3095	18399
144	3132	18468
145	3157	18466
146	3181	18462
147	3207	18467
148	3232	18459
149	3256	18453
150	3278	18434
151	3308	18460
152	3341	18498
153	3365	18488
154	3390	18486
155	3420	18508
156	3454	18549
157	3493	18615
158	3525	18646
159	3559	18688
160	3594	18731
161	3628	18770
162	3661	18799
163	3692	18822
164	3721	18833
165	3760	18890
166	3791	18910
167	3822	18930
168	3853	18949
169	3886	18974
170	3909	18950
171	3939	18966
172	3969	18974
173	4001	18994
174	4032	19010
175	4071	19059
176	4105	19087
177	4134	19092
178	4153	19050
179	4183	19057
180	4212	19061
181	4244	19076
182	4275	19087
183	4307	19101
184	4338	19113
185	4373	19140
186	4404	19149
187	4454	19241
188	4493	19282
189	4532	19323
190	4567	19347
191	4599	19355
192	4628	19354
193	4662	19370
194	4693	19375
195	4722	19371
196	4746	19348
197	4781	19365
198	4809	19360
199	4840	19361
200	4873	19371
201	4907	19386
202	4936	19380
203	4950	19315
204	4975	19293
205	5001	19276
206	5015	19213
207	5041	19196
208	5070	19191
209	5097	19174
210	5122	19156
211	5148	19137
212	5175	19122
213	5201	19103
214	5227	19084
215	5253	19067
216	5280	19053
217	5305	19030
218	5330	19010
219	5356	18990
220	5383	18975
221	5409	18956
222	5434	18936
223	5459	18913
224	5485	18893
225	5510	18870
226	5535	18850
227	5562	18832
228	5587	18810
229	5612	18790
230	5639	18774
231	5668	18763
232	5701	18767
233	5729	18754
234	5756	18739
235	5768	18673
236	5795	18658
237	5823	18645
238	5835	18579
239	5861	18562
240	5871	18492
241	5898	18475
242	5928	18467
243	5959	18464
244	5997	18482
245	6032	18490
246	6068	18501
247	6081	18440
248	6114	18441
249	6153	18459
250	6188	18465
251	6216	18451
252	6251	18457
253	6315	18548
254	6349	18550
255	6362	18491
256	6396	18491
257	6409	18433
258	6445	18440
259	6495	18488
260	6520	18463
261	6548	18445
262	6568	18406
263	6617	18449
264	6653	18454
265	6684	18445
266	6711	18425
267	6737	18402
268	6763	18380
269	6789	18357
270	6814	18330
271	6839	18306
272	6862	18275
273	6886	18245
274	6910	18217
275	6935	18193
276	6958	18163
277	6983	18136
278	7006	18105
279	7028	18073
280	7055	18051
281	7079	18024
282	7101	17991
283	7135	17990
284	7159	17960
285	7180	17926
286	7201	17891
287	7221	17852
288	7242	17817
289	7262	17781
290	7282	17742
291	7303	17708
292	7323	17672
293	7346	17640
294	7365	17601
295	7386	17567
296	7406	17531
297	7427	17497
298	7448	17462
299	7468	17426
300	7488	17390
301	7509	17356
302	7531	17324
303	7553	17293
304	7574	17260
305	7594	17224
306	7615	17190
307	7635	17155
308	7655	17120
309	7678	17091
310	7698	17056
311	7718	17021
312	7739	16987
313	7760	16954
314	7779	16918
315	7800	16883
316	7822	16855
317	7845	16825
318	7864	16788
319	7883	16752
320	7903	16717
321	7925	16686
322	7949	16661
323	7968	16626
324	7988	16591
325	8008	16557
326	8030	16528
327	8041	16474
328	8062	16443
329	8082	16409
330	8102	16375
331	8122	16343
332	8143	16312
333	8168	16287
334	8187	16253
335	8207	16220
336	8229	16190
337	8253	16164
338	8271	16128
339	8292	16097
340	8313	16065
341	8333	16033
342	8355	16005
343	8375	15972
344	8396	15941
345	8416	15909
346	8439	15881
347	8460	15850
348	8480	15817
349	8500	15786
350	8519	15752
351	8539	15720
352	8563	15696
353	8583	15663
354	8605	15634
355	8624	15601
356	8645	15571
357	8667	15542
358	8697	15529
359	8733	15526
360	8778	15539
361	8788	15489
362	8810	15460
363	8832	15433
364	8853	15402
365	8873	15370
366	8894	15341
367	8914	15309
368	8934	15277
369	8956	15250
370	8977	15220
371	8997	15189
372	9017	15158
